Document ID,text_size,Size Classification (Range),Size Classification (Thirds),File Type
1,15555.85,Medium,Mid,pdf
2,28893.08,Medium,Mid,pdf
3,27372.24,Medium,Mid,excel
4,494.42,Small,Lower,excel
5,7044.85,Medium,Lower,pdf
6,6911.53,Medium,Lower,pdf
7,917.08,Small,Mid,excel
8,138.04,Small,Lower,pdf
9,13250.04,Medium,Lower,excel
10,713.72,Small,Mid,excel
11,28647.18,Medium,Mid,excel
12,969.41,Small,Mid,excel
13,25352.97,Medium,Mid,excel
14,5284.68,Medium,Lower,excel
15,700.30,Small,Mid,excel
16,347.70,Small,Lower,pdf
17,3822290.10,Large,Mid,pdf
18,845.83,Small,Mid,pdf
19,524.10,Small,Mid,pdf
20,51.50,Small,Lower,msg
21,1600.51,Medium,Lower,pdf
22,17690.79,Medium,Mid,pdf
23,3808.19,Medium,Lower,pdf
24,15481.55,Medium,Lower,excel
25,608.05,Small,Mid,pdf
26,29768.17,Medium,Mid,excel
27,815.07,Small,Mid,pdf
28,23.26,Small,Lower,msg
29,20599.35,Medium,Mid,excel
30,19120.56,Medium,Mid,excel
31,299.96,Small,Lower,pdf
32,8023.96,Medium,Lower,pdf
33,368.57,Small,Lower,excel
34,765.74,Small,Mid,excel
35,702.20,Small,Mid,pdf
36,264.05,Small,Lower,excel
37,608.10,Small,Mid,excel
38,656.77,Small,Mid,pdf
39,157.46,Small,Lower,excel
40,20780.35,Medium,Mid,pdf
41,345.87,Small,Lower,excel
42,352676.62,Large,Lower,pdf
43,678.62,Small,Mid,pdf
44,544.05,Small,Mid,pdf
45,613.32,Small,Mid,excel
46,611.93,Small,Mid,excel
47,2417.66,Medium,Lower,excel
48,8047.53,Medium,Lower,pdf
49,319.78,Small,Lower,pdf
50,390.10,Small,Lower,pdf
51,217.84,Small,Lower,pdf
52,332.55,Small,Lower,pdf
53,857.64,Small,Mid,excel
54,445218.89,Large,Lower,excel
55,8946.77,Medium,Lower,excel
56,957.49,Small,Mid,pdf
57,4577126.69,Large,Mid,excel
58,2112318.38,Large,Lower,excel
59,10424.61,Medium,Lower,excel
60,674.14,Small,Mid,pdf
61,284.71,Small,Lower,pdf
62,10063.30,Medium,Lower,pdf
63,12764.94,Medium,Lower,pdf
64,4933748.39,Large,Mid,excel
65,34.89,Small,Lower,doc
66,9392.28,Medium,Lower,excel
67,151.03,Small,Lower,excel
68,19168.09,Medium,Mid,excel
69,892.26,Small,Mid,excel
70,427.80,Small,Lower,pdf
71,352.68,Small,Lower,excel
72,26379.92,Medium,Mid,excel
73,170.63,Small,Lower,excel
74,883.47,Small,Mid,excel
75,354.70,Small,Lower,pdf
76,22.82,Small,Lower,msg
77,433.49,Small,Lower,excel
78,190.74,Small,Lower,excel
79,707852.51,Large,Lower,pdf
80,226.15,Small,Lower,pdf
81,59.72,Small,Lower,doc
82,317.15,Small,Lower,excel
83,19815.46,Medium,Mid,excel
84,901.44,Small,Mid,pdf
85,830.13,Small,Mid,excel
86,2023.19,Medium,Lower,excel
87,4797.05,Medium,Lower,pdf
88,1913.39,Medium,Lower,excel
89,537.38,Small,Mid,pdf
90,28031.50,Medium,Mid,excel
91,2359037.18,Large,Lower,excel
92,17031.93,Medium,Mid,excel
93,697.81,Small,Mid,pdf
94,461.44,Small,Lower,excel
95,6973.61,Medium,Lower,excel
96,632.94,Small,Mid,pdf
97,992.30,Small,Mid,excel
98,1594652.15,Large,Lower,excel
99,1282.02,Medium,Lower,excel
100,782479.08,Large,Lower,pdf
101,15403.03,Medium,Lower,pdf
102,18798.09,Medium,Mid,excel
103,612.83,Small,Mid,pdf
104,13779.64,Medium,Lower,excel
105,7819.43,Medium,Lower,excel
106,735.43,Small,Mid,excel
107,2216632.94,Large,Lower,excel
108,3599.68,Medium,Lower,excel
109,3422.79,Medium,Lower,excel
110,18955.47,Medium,Mid,excel
111,255.59,Small,Lower,pdf
112,9422.03,Medium,Lower,pdf
113,9772.25,Medium,Lower,pdf
114,884190.59,Large,Lower,pdf
115,989.50,Small,Mid,pdf
116,10675.60,Medium,Lower,pdf
117,6297.12,Medium,Lower,pdf
118,780.09,Small,Mid,pdf
119,158.55,Small,Lower,excel
120,3893.73,Medium,Lower,excel
121,115.88,Small,Lower,pdf
122,735.68,Small,Mid,excel
123,622.46,Small,Mid,excel
124,957.78,Small,Mid,pdf
125,811.35,Small,Mid,excel
126,15750.42,Medium,Mid,pdf
127,335.22,Small,Lower,pdf
128,313.05,Small,Lower,pdf
129,753.86,Small,Mid,excel
130,10993.30,Medium,Lower,excel
131,3340293.27,Large,Mid,pdf
132,375.50,Small,Lower,pdf
133,299.82,Small,Lower,excel
134,624.96,Small,Mid,pdf
135,472.56,Small,Lower,pdf
136,15681.95,Medium,Mid,pdf
137,759.62,Small,Mid,pdf
138,662.52,Small,Mid,excel
139,2401298.29,Large,Lower,excel
140,568.84,Small,Mid,pdf
141,669.55,Small,Mid,pdf
142,655.57,Small,Mid,excel
143,89.39,Small,Lower,msg
144,489.13,Small,Lower,pdf
145,4756052.18,Large,Mid,excel
146,99.07,Small,Lower,doc
147,3563817.90,Large,Mid,excel
148,530.10,Small,Mid,pdf
149,242.78,Small,Lower,pdf
150,73.60,Small,Lower,doc
151,908367.40,Large,Lower,excel
152,228.13,Small,Lower,pdf
153,477.13,Small,Lower,pdf
154,993.11,Small,Mid,pdf
155,140.82,Small,Lower,pdf
156,27338.85,Medium,Mid,excel
157,172.57,Small,Lower,excel
158,704.18,Small,Mid,excel
159,816.80,Small,Mid,pdf
160,258.20,Small,Lower,excel
161,11683.91,Medium,Lower,pdf
162,608.75,Small,Mid,pdf
163,437986.24,Large,Lower,pdf
164,375.78,Small,Lower,excel
165,219.58,Small,Lower,excel
166,857.42,Small,Mid,pdf
167,444.73,Small,Lower,pdf
168,12904.09,Medium,Lower,excel
169,18645.17,Medium,Mid,excel
170,517.29,Small,Mid,pdf
171,910929.44,Large,Lower,excel
172,830.99,Small,Mid,pdf
173,702.21,Small,Mid,excel
174,684.19,Small,Mid,pdf
175,16799.93,Medium,Mid,pdf
176,12930.14,Medium,Lower,excel
177,4594074.05,Large,Mid,excel
178,715.35,Small,Mid,pdf
179,52.56,Small,Lower,doc
180,852.11,Small,Mid,pdf
181,762.10,Small,Mid,excel
182,3464904.82,Large,Mid,excel
183,92.72,Small,Lower,msg
184,33.71,Small,Lower,doc
185,4269.27,Medium,Lower,excel
186,373.68,Small,Lower,excel
187,159.56,Small,Lower,excel
188,4096816.06,Large,Mid,excel
189,12170.19,Medium,Lower,pdf
190,440.40,Small,Lower,excel
191,1568.50,Medium,Lower,pdf
192,429.69,Small,Lower,excel
193,5429.75,Medium,Lower,pdf
194,14952.32,Medium,Lower,pdf
195,202003.10,Large,Lower,excel
196,4040093.41,Large,Mid,pdf
197,25592.99,Medium,Mid,pdf
198,703.00,Small,Mid,excel
199,976.06,Small,Mid,excel
200,509.85,Small,Mid,pdf
201,919.68,Small,Mid,excel
202,427.82,Small,Lower,pdf
203,22767.54,Medium,Mid,excel
204,492.60,Small,Lower,excel
205,19172.47,Medium,Mid,pdf
206,4881645.18,Large,Mid,pdf
207,679.59,Small,Mid,pdf
208,622.03,Small,Mid,excel
209,478.71,Small,Lower,pdf
210,1528.13,Medium,Lower,excel
211,618.83,Small,Mid,pdf
212,18990.86,Medium,Mid,pdf
213,4529146.95,Large,Mid,pdf
214,294.59,Small,Lower,pdf
215,15241.61,Medium,Lower,excel
216,27344.56,Medium,Mid,excel
217,33.06,Small,Lower,msg
218,26154.26,Medium,Mid,pdf
219,977.12,Small,Mid,excel
220,333.57,Small,Lower,excel
221,29623.51,Medium,Mid,pdf
222,1868685.35,Large,Lower,pdf
223,719.98,Small,Mid,excel
224,52.55,Small,Lower,msg
225,421.90,Small,Lower,pdf
226,3698.51,Medium,Lower,pdf
227,868.39,Small,Mid,excel
228,984.36,Small,Mid,excel
229,3522.76,Medium,Lower,pdf
230,307.76,Small,Lower,excel
231,534.89,Small,Mid,pdf
232,921.78,Small,Mid,pdf
233,535.69,Small,Mid,pdf
234,5209.19,Medium,Lower,excel
235,1172.34,Medium,Lower,pdf
236,3147.54,Medium,Lower,pdf
237,397.86,Small,Lower,pdf
238,949.16,Small,Mid,pdf
239,2488.72,Medium,Lower,excel
240,27858.14,Medium,Mid,pdf
241,15326.86,Medium,Lower,excel
